,#agents,#positives,#neutrals,#negatives,#experts,#liars,#initial_connections,#news,#cluster distance,#comm_protocol,#conv_protocol,#steps
0,100,39,1,60,5,5,200,1,0,SYO,simple,1500
0,100,59,2,39,5,5,200,1,0,SYO,simple,1500
0,100,74,2,24,5,5,200,1,0,SYO,simple,1500
0,100,35,2,63,5,5,200,1,0,SYO,simple,1500
0,100,41,0,59,5,5,200,1,0,SYO,simple,1500
0,100,53,0,47,5,5,200,1,0,SYO,simple,1500
0,100,50,0,50,5,5,200,1,0,SYO,simple,1500
0,100,61,1,38,5,5,200,1,0,SYO,simple,1500
0,100,33,1,66,5,5,200,1,0,SYO,simple,1500
0,100,66,1,33,5,5,200,1,0,SYO,simple,1500
0,100,42,2,56,5,5,200,1,0,SYO,simple,1500
0,100,55,2,43,5,5,200,1,0,SYO,simple,1500
0,100,24,0,76,5,5,200,1,0,SYO,simple,1500
0,100,59,0,41,5,5,200,1,0,SYO,simple,1500
0,100,56,0,44,5,5,200,1,0,SYO,simple,1500
0,100,28,0,72,5,5,200,1,0,SYO,simple,1500
0,100,36,1,63,5,5,200,1,0,SYO,simple,1500
0,100,37,0,63,5,5,200,1,0,SYO,simple,1500
0,100,60,2,38,5,5,200,1,0,SYO,simple,1500
0,100,53,0,47,5,5,200,1,0,SYO,simple,1500
0,100,28,0,72,5,5,200,1,0,SYO,simple,1500
0,100,76,1,23,5,5,200,1,0,SYO,simple,1500
0,100,37,0,63,5,5,200,1,0,SYO,simple,1500
0,100,39,1,60,5,5,200,1,0,SYO,simple,1500
0,100,61,0,39,5,5,200,1,0,SYO,simple,1500
0,100,57,0,43,5,5,200,1,0,SYO,simple,1500
0,100,38,1,61,5,5,200,1,0,SYO,simple,1500
0,100,46,0,54,5,5,200,1,0,SYO,simple,1500
0,100,65,2,33,5,5,200,1,0,SYO,simple,1500
0,100,64,1,35,5,5,200,1,0,SYO,simple,1500
0,100,41,2,57,5,5,200,1,0,SYO,simple,1500
0,100,48,0,52,5,5,200,1,0,SYO,simple,1500
0,100,48,0,52,5,5,200,1,0,SYO,simple,1500
0,100,49,0,51,5,5,200,1,0,SYO,simple,1500
0,100,39,0,61,5,5,200,1,0,SYO,simple,1500
0,100,44,0,56,5,5,200,1,0,SYO,simple,1500
0,100,34,0,66,5,5,200,1,0,SYO,simple,1500
0,100,48,0,52,5,5,200,1,0,SYO,simple,1500
0,100,39,1,60,5,5,200,1,0,SYO,simple,1500
0,100,53,1,46,5,5,200,1,0,SYO,simple,1500
0,100,62,0,38,5,5,200,1,0,SYO,simple,1500
0,100,61,0,39,5,5,200,1,0,SYO,simple,1500
0,100,27,1,72,5,5,200,1,0,SYO,simple,1500
0,100,39,0,61,5,5,200,1,0,SYO,simple,1500
0,100,59,1,40,5,5,200,1,0,SYO,simple,1500
0,100,15,0,85,5,5,200,1,0,SYO,simple,1500
0,100,35,0,65,5,5,200,1,0,SYO,simple,1500
0,100,51,2,47,5,5,200,1,0,SYO,simple,1500
0,100,57,1,42,5,5,200,1,0,SYO,simple,1500
0,100,41,0,59,5,5,200,1,0,SYO,simple,1500
0,100,36,1,63,5,5,200,1,0,SYO,simple,1500
0,100,51,1,48,5,5,200,1,0,SYO,simple,1500
0,100,73,2,25,5,5,200,1,0,SYO,simple,1500
0,100,58,3,39,5,5,200,1,0,SYO,simple,1500
0,100,40,0,60,5,5,200,1,0,SYO,simple,1500
0,100,47,0,53,5,5,200,1,0,SYO,simple,1500
0,100,70,1,29,5,5,200,1,0,SYO,simple,1500
0,100,67,1,32,5,5,200,1,0,SYO,simple,1500
0,100,52,0,48,5,5,200,1,0,SYO,simple,1500
0,100,49,0,51,5,5,200,1,0,SYO,simple,1500
0,100,56,3,41,5,5,200,1,0,SYO,simple,1500
0,100,48,0,52,5,5,200,1,0,SYO,simple,1500
0,100,21,1,78,5,5,200,1,0,SYO,simple,1500
0,100,67,2,31,5,5,200,1,0,SYO,simple,1500
0,100,65,0,35,5,5,200,1,0,SYO,simple,1500
0,100,43,0,57,5,5,200,1,0,SYO,simple,1500
0,100,33,0,67,5,5,200,1,0,SYO,simple,1500
0,100,74,0,26,5,5,200,1,0,SYO,simple,1500
0,100,46,0,54,5,5,200,1,0,SYO,simple,1500
0,100,51,1,48,5,5,200,1,0,SYO,simple,1500
0,100,45,0,55,5,5,200,1,0,SYO,simple,1500
0,100,58,1,41,5,5,200,1,0,SYO,simple,1500
0,100,21,1,78,5,5,200,1,0,SYO,simple,1500
0,100,20,1,79,5,5,200,1,0,SYO,simple,1500
0,100,42,0,58,5,5,200,1,0,SYO,simple,1500
0,100,50,0,50,5,5,200,1,0,SYO,simple,1500
0,100,24,0,76,5,5,200,1,0,SYO,simple,1500
0,100,60,0,40,5,5,200,1,0,SYO,simple,1500
0,100,61,1,38,5,5,200,1,0,SYO,simple,1500
0,100,53,1,46,5,5,200,1,0,SYO,simple,1500
0,100,32,0,68,5,5,200,1,0,SYO,simple,1500
0,100,25,2,73,5,5,200,1,0,SYO,simple,1500
0,100,40,0,60,5,5,200,1,0,SYO,simple,1500
0,100,63,0,37,5,5,200,1,0,SYO,simple,1500
0,100,37,0,63,5,5,200,1,0,SYO,simple,1500
0,100,40,1,59,5,5,200,1,0,SYO,simple,1500
0,100,51,1,48,5,5,200,1,0,SYO,simple,1500
0,100,26,0,74,5,5,200,1,0,SYO,simple,1500
0,100,49,0,51,5,5,200,1,0,SYO,simple,1500
0,100,38,0,62,5,5,200,1,0,SYO,simple,1500
0,100,61,2,37,5,5,200,1,0,SYO,simple,1500
0,100,37,0,63,5,5,200,1,0,SYO,simple,1500
0,100,41,0,59,5,5,200,1,0,SYO,simple,1500
0,100,50,0,50,5,5,200,1,0,SYO,simple,1500
0,100,55,1,44,5,5,200,1,0,SYO,simple,1500
0,100,62,0,38,5,5,200,1,0,SYO,simple,1500
0,100,55,0,45,5,5,200,1,0,SYO,simple,1500
0,100,44,0,56,5,5,200,1,0,SYO,simple,1500
0,100,51,0,49,5,5,200,1,0,SYO,simple,1500
0,100,74,1,25,5,5,200,1,0,SYO,simple,1500
