,#agents,#positives,#neutrals,#negatives,#experts,#liars,#initial_connections,#news,#cluster distance,#comm_protocol,#conv_protocol,#steps
0,100,60,0,40,5,5,200,1,0,random,discussion,1500
0,100,51,0,49,5,5,200,1,0,random,discussion,1500
0,100,44,0,56,5,5,200,1,0,random,discussion,1500
0,100,40,0,60,5,5,200,1,0,random,discussion,1500
0,100,25,0,75,5,5,200,1,0,random,discussion,1500
0,100,28,0,72,5,5,200,1,0,random,discussion,1500
0,100,53,0,47,5,5,200,1,0,random,discussion,1500
0,100,40,0,60,5,5,200,1,0,random,discussion,1500
0,100,71,0,29,5,5,200,1,0,random,discussion,1500
0,100,31,0,69,5,5,200,1,0,random,discussion,1500
0,100,65,0,35,5,5,200,1,0,random,discussion,1500
0,100,51,0,49,5,5,200,1,0,random,discussion,1500
0,100,53,0,47,5,5,200,1,0,random,discussion,1500
0,100,54,0,46,5,5,200,1,0,random,discussion,1500
0,100,25,0,75,5,5,200,1,0,random,discussion,1500
0,100,71,0,29,5,5,200,1,0,random,discussion,1500
0,100,62,0,38,5,5,200,1,0,random,discussion,1500
0,100,38,0,62,5,5,200,1,0,random,discussion,1500
0,100,58,0,42,5,5,200,1,0,random,discussion,1500
0,100,55,0,45,5,5,200,1,0,random,discussion,1500
0,100,65,0,35,5,5,200,1,0,random,discussion,1500
0,100,47,0,53,5,5,200,1,0,random,discussion,1500
0,100,46,0,54,5,5,200,1,0,random,discussion,1500
0,100,31,0,69,5,5,200,1,0,random,discussion,1500
0,100,50,0,50,5,5,200,1,0,random,discussion,1500
0,100,47,0,53,5,5,200,1,0,random,discussion,1500
0,100,39,0,61,5,5,200,1,0,random,discussion,1500
0,100,25,0,75,5,5,200,1,0,random,discussion,1500
0,100,23,0,77,5,5,200,1,0,random,discussion,1500
0,100,28,0,72,5,5,200,1,0,random,discussion,1500
0,100,59,0,41,5,5,200,1,0,random,discussion,1500
0,100,77,0,23,5,5,200,1,0,random,discussion,1500
0,100,54,0,46,5,5,200,1,0,random,discussion,1500
0,100,49,0,51,5,5,200,1,0,random,discussion,1500
0,100,43,0,57,5,5,200,1,0,random,discussion,1500
0,100,70,0,30,5,5,200,1,0,random,discussion,1500
0,100,55,0,45,5,5,200,1,0,random,discussion,1500
0,100,63,0,37,5,5,200,1,0,random,discussion,1500
0,100,65,0,35,5,5,200,1,0,random,discussion,1500
0,100,51,0,49,5,5,200,1,0,random,discussion,1500
0,100,45,0,55,5,5,200,1,0,random,discussion,1500
0,100,58,0,42,5,5,200,1,0,random,discussion,1500
0,100,35,0,65,5,5,200,1,0,random,discussion,1500
0,100,54,1,45,5,5,200,1,0,random,discussion,1500
0,100,52,0,48,5,5,200,1,0,random,discussion,1500
0,100,73,0,27,5,5,200,1,0,random,discussion,1500
0,100,32,0,68,5,5,200,1,0,random,discussion,1500
0,100,66,0,34,5,5,200,1,0,random,discussion,1500
0,100,73,0,27,5,5,200,1,0,random,discussion,1500
0,100,44,0,56,5,5,200,1,0,random,discussion,1500
0,100,41,0,59,5,5,200,1,0,random,discussion,1500
0,100,70,0,30,5,5,200,1,0,random,discussion,1500
0,100,69,0,31,5,5,200,1,0,random,discussion,1500
0,100,62,0,38,5,5,200,1,0,random,discussion,1500
0,100,45,0,55,5,5,200,1,0,random,discussion,1500
0,100,33,0,67,5,5,200,1,0,random,discussion,1500
0,100,39,0,61,5,5,200,1,0,random,discussion,1500
0,100,61,0,39,5,5,200,1,0,random,discussion,1500
0,100,72,0,28,5,5,200,1,0,random,discussion,1500
0,100,64,0,36,5,5,200,1,0,random,discussion,1500
0,100,46,0,54,5,5,200,1,0,random,discussion,1500
0,100,60,0,40,5,5,200,1,0,random,discussion,1500
0,100,61,0,39,5,5,200,1,0,random,discussion,1500
0,100,40,0,60,5,5,200,1,0,random,discussion,1500
0,100,43,0,57,5,5,200,1,0,random,discussion,1500
0,100,51,0,49,5,5,200,1,0,random,discussion,1500
0,100,48,0,52,5,5,200,1,0,random,discussion,1500
0,100,49,0,51,5,5,200,1,0,random,discussion,1500
0,100,67,1,32,5,5,200,1,0,random,discussion,1500
0,100,46,0,54,5,5,200,1,0,random,discussion,1500
0,100,60,0,40,5,5,200,1,0,random,discussion,1500
0,100,68,0,32,5,5,200,1,0,random,discussion,1500
0,100,62,2,36,5,5,200,1,0,random,discussion,1500
0,100,58,0,42,5,5,200,1,0,random,discussion,1500
0,100,40,0,60,5,5,200,1,0,random,discussion,1500
0,100,53,0,47,5,5,200,1,0,random,discussion,1500
0,100,48,0,52,5,5,200,1,0,random,discussion,1500
0,100,46,0,54,5,5,200,1,0,random,discussion,1500
0,100,60,0,40,5,5,200,1,0,random,discussion,1500
0,100,32,0,68,5,5,200,1,0,random,discussion,1500
0,100,45,0,55,5,5,200,1,0,random,discussion,1500
0,100,48,0,52,5,5,200,1,0,random,discussion,1500
0,100,72,0,28,5,5,200,1,0,random,discussion,1500
0,100,39,0,61,5,5,200,1,0,random,discussion,1500
0,100,55,0,45,5,5,200,1,0,random,discussion,1500
0,100,39,0,61,5,5,200,1,0,random,discussion,1500
0,100,39,0,61,5,5,200,1,0,random,discussion,1500
