,#agents,#positives,#neutrals,#negatives,#experts,#liars,#initial_connections,#news,#cluster distance,#comm_protocol,#conv_protocol,#steps
0,100,94,0,6,5,5,200,1,0,SYO,majority_opinion,1500
0,100,5,0,95,5,5,200,1,0,SYO,majority_opinion,1500
0,100,95,0,5,5,5,200,1,0,SYO,majority_opinion,1500
0,100,93,0,7,5,5,200,1,0,SYO,majority_opinion,1500
0,100,95,0,5,5,5,200,1,0,SYO,majority_opinion,1500
0,100,5,0,95,5,5,200,1,0,SYO,majority_opinion,1500
0,100,94,0,6,5,5,200,1,0,SYO,majority_opinion,1500
0,100,13,0,87,5,5,200,1,0,SYO,majority_opinion,1500
0,100,92,0,8,5,5,200,1,0,SYO,majority_opinion,1500
0,100,75,0,25,5,5,200,1,0,SYO,majority_opinion,1500
0,100,12,0,88,5,5,200,1,0,SYO,majority_opinion,1500
0,100,10,0,90,5,5,200,1,0,SYO,majority_opinion,1500
0,100,95,0,5,5,5,200,1,0,SYO,majority_opinion,1500
0,100,87,0,13,5,5,200,1,0,SYO,majority_opinion,1500
0,100,5,0,95,5,5,200,1,0,SYO,majority_opinion,1500
0,100,5,0,95,5,5,200,1,0,SYO,majority_opinion,1500
0,100,5,0,95,5,5,200,1,0,SYO,majority_opinion,1500
0,100,93,0,7,5,5,200,1,0,SYO,majority_opinion,1500
0,100,6,0,94,5,5,200,1,0,SYO,majority_opinion,1500
0,100,95,0,5,5,5,200,1,0,SYO,majority_opinion,1500
0,100,95,0,5,5,5,200,1,0,SYO,majority_opinion,1500
0,100,93,0,7,5,5,200,1,0,SYO,majority_opinion,1500
0,100,8,0,92,5,5,200,1,0,SYO,majority_opinion,1500
0,100,95,0,5,5,5,200,1,0,SYO,majority_opinion,1500
0,100,43,0,57,5,5,200,1,0,SYO,majority_opinion,1500
0,100,5,0,95,5,5,200,1,0,SYO,majority_opinion,1500
0,100,56,0,44,5,5,200,1,0,SYO,majority_opinion,1500
0,100,66,0,34,5,5,200,1,0,SYO,majority_opinion,1500
0,100,94,0,6,5,5,200,1,0,SYO,majority_opinion,1500
0,100,82,0,18,5,5,200,1,0,SYO,majority_opinion,1500
0,100,5,0,95,5,5,200,1,0,SYO,majority_opinion,1500
0,100,5,0,95,5,5,200,1,0,SYO,majority_opinion,1500
0,100,21,1,78,5,5,200,1,0,SYO,majority_opinion,1500
0,100,95,0,5,5,5,200,1,0,SYO,majority_opinion,1500
0,100,5,0,95,5,5,200,1,0,SYO,majority_opinion,1500
0,100,7,0,93,5,5,200,1,0,SYO,majority_opinion,1500
0,100,95,0,5,5,5,200,1,0,SYO,majority_opinion,1500
0,100,94,0,6,5,5,200,1,0,SYO,majority_opinion,1500
0,100,6,0,94,5,5,200,1,0,SYO,majority_opinion,1500
0,100,95,0,5,5,5,200,1,0,SYO,majority_opinion,1500
0,100,94,0,6,5,5,200,1,0,SYO,majority_opinion,1500
0,100,29,0,71,5,5,200,1,0,SYO,majority_opinion,1500
0,100,88,0,12,5,5,200,1,0,SYO,majority_opinion,1500
0,100,95,0,5,5,5,200,1,0,SYO,majority_opinion,1500
0,100,85,0,15,5,5,200,1,0,SYO,majority_opinion,1500
0,100,95,0,5,5,5,200,1,0,SYO,majority_opinion,1500
0,100,5,0,95,5,5,200,1,0,SYO,majority_opinion,1500
0,100,94,0,6,5,5,200,1,0,SYO,majority_opinion,1500
0,100,5,0,95,5,5,200,1,0,SYO,majority_opinion,1500
0,100,5,0,95,5,5,200,1,0,SYO,majority_opinion,1500
0,100,95,0,5,5,5,200,1,0,SYO,majority_opinion,1500
0,100,36,0,64,5,5,200,1,0,SYO,majority_opinion,1500
0,100,5,0,95,5,5,200,1,0,SYO,majority_opinion,1500
0,100,94,0,6,5,5,200,1,0,SYO,majority_opinion,1500
0,100,32,0,68,5,5,200,1,0,SYO,majority_opinion,1500
0,100,13,0,87,5,5,200,1,0,SYO,majority_opinion,1500
0,100,95,0,5,5,5,200,1,0,SYO,majority_opinion,1500
0,100,40,0,60,5,5,200,1,0,SYO,majority_opinion,1500
0,100,95,0,5,5,5,200,1,0,SYO,majority_opinion,1500
0,100,9,0,91,5,5,200,1,0,SYO,majority_opinion,1500
0,100,43,0,57,5,5,200,1,0,SYO,majority_opinion,1500
0,100,95,0,5,5,5,200,1,0,SYO,majority_opinion,1500
0,100,92,0,8,5,5,200,1,0,SYO,majority_opinion,1500
0,100,95,0,5,5,5,200,1,0,SYO,majority_opinion,1500
0,100,95,0,5,5,5,200,1,0,SYO,majority_opinion,1500
0,100,6,0,94,5,5,200,1,0,SYO,majority_opinion,1500
0,100,95,0,5,5,5,200,1,0,SYO,majority_opinion,1500
0,100,94,0,6,5,5,200,1,0,SYO,majority_opinion,1500
0,100,95,0,5,5,5,200,1,0,SYO,majority_opinion,1500
0,100,95,0,5,5,5,200,1,0,SYO,majority_opinion,1500
0,100,78,0,22,5,5,200,1,0,SYO,majority_opinion,1500
0,100,95,0,5,5,5,200,1,0,SYO,majority_opinion,1500
0,100,95,0,5,5,5,200,1,0,SYO,majority_opinion,1500
0,100,5,0,95,5,5,200,1,0,SYO,majority_opinion,1500
0,100,5,0,95,5,5,200,1,0,SYO,majority_opinion,1500
0,100,6,1,93,5,5,200,1,0,SYO,majority_opinion,1500
0,100,5,1,94,5,5,200,1,0,SYO,majority_opinion,1500
0,100,5,0,95,5,5,200,1,0,SYO,majority_opinion,1500
0,100,7,0,93,5,5,200,1,0,SYO,majority_opinion,1500
0,100,13,0,87,5,5,200,1,0,SYO,majority_opinion,1500
0,100,6,0,94,5,5,200,1,0,SYO,majority_opinion,1500
0,100,14,0,86,5,5,200,1,0,SYO,majority_opinion,1500
0,100,5,0,95,5,5,200,1,0,SYO,majority_opinion,1500
0,100,11,1,88,5,5,200,1,0,SYO,majority_opinion,1500
0,100,95,0,5,5,5,200,1,0,SYO,majority_opinion,1500
0,100,7,0,93,5,5,200,1,0,SYO,majority_opinion,1500
0,100,88,0,12,5,5,200,1,0,SYO,majority_opinion,1500
0,100,95,0,5,5,5,200,1,0,SYO,majority_opinion,1500
0,100,13,0,87,5,5,200,1,0,SYO,majority_opinion,1500
0,100,8,0,92,5,5,200,1,0,SYO,majority_opinion,1500
0,100,5,0,95,5,5,200,1,0,SYO,majority_opinion,1500
0,100,5,0,95,5,5,200,1,0,SYO,majority_opinion,1500
0,100,95,0,5,5,5,200,1,0,SYO,majority_opinion,1500
0,100,17,0,83,5,5,200,1,0,SYO,majority_opinion,1500
0,100,5,0,95,5,5,200,1,0,SYO,majority_opinion,1500
0,100,92,0,8,5,5,200,1,0,SYO,majority_opinion,1500
0,100,62,0,38,5,5,200,1,0,SYO,majority_opinion,1500
0,100,94,0,6,5,5,200,1,0,SYO,majority_opinion,1500
0,100,95,0,5,5,5,200,1,0,SYO,majority_opinion,1500
0,100,94,0,6,5,5,200,1,0,SYO,majority_opinion,1500
