,#agents,#positives,#neutrals,#negatives,#experts,#liars,#initial_connections,#news,#cluster distance,#comm_protocol,#conv_protocol,#steps
0,100,28,0,72,5,5,200,1,0,CO,simple,1500
0,100,70,2,28,5,5,200,1,0,CO,simple,1500
0,100,46,0,54,5,5,200,1,0,CO,simple,1500
0,100,45,1,54,5,5,200,1,0,CO,simple,1500
0,100,54,0,46,5,5,200,1,0,CO,simple,1500
0,100,28,1,71,5,5,200,1,0,CO,simple,1500
0,100,46,0,54,5,5,200,1,0,CO,simple,1500
0,100,52,1,47,5,5,200,1,0,CO,simple,1500
0,100,35,0,65,5,5,200,1,0,CO,simple,1500
0,100,48,0,52,5,5,200,1,0,CO,simple,1500
0,100,58,0,42,5,5,200,1,0,CO,simple,1500
0,100,55,1,44,5,5,200,1,0,CO,simple,1500
0,100,53,3,44,5,5,200,1,0,CO,simple,1500
0,100,52,0,48,5,5,200,1,0,CO,simple,1500
0,100,33,0,67,5,5,200,1,0,CO,simple,1500
0,100,54,0,46,5,5,200,1,0,CO,simple,1500
0,100,49,1,50,5,5,200,1,0,CO,simple,1500
0,100,64,2,34,5,5,200,1,0,CO,simple,1500
0,100,66,0,34,5,5,200,1,0,CO,simple,1500
0,100,60,1,39,5,5,200,1,0,CO,simple,1500
0,100,33,2,65,5,5,200,1,0,CO,simple,1500
0,100,28,0,72,5,5,200,1,0,CO,simple,1500
0,100,56,1,43,5,5,200,1,0,CO,simple,1500
0,100,55,3,42,5,5,200,1,0,CO,simple,1500
0,100,36,2,62,5,5,200,1,0,CO,simple,1500
0,100,46,1,53,5,5,200,1,0,CO,simple,1500
0,100,34,1,65,5,5,200,1,0,CO,simple,1500
0,100,76,0,24,5,5,200,1,0,CO,simple,1500
0,100,54,2,44,5,5,200,1,0,CO,simple,1500
0,100,45,0,55,5,5,200,1,0,CO,simple,1500
0,100,78,0,22,5,5,200,1,0,CO,simple,1500
0,100,63,2,35,5,5,200,1,0,CO,simple,1500
0,100,54,0,46,5,5,200,1,0,CO,simple,1500
0,100,33,2,65,5,5,200,1,0,CO,simple,1500
0,100,73,3,24,5,5,200,1,0,CO,simple,1500
0,100,47,1,52,5,5,200,1,0,CO,simple,1500
0,100,52,0,48,5,5,200,1,0,CO,simple,1500
0,100,45,0,55,5,5,200,1,0,CO,simple,1500
0,100,79,0,21,5,5,200,1,0,CO,simple,1500
0,100,45,1,54,5,5,200,1,0,CO,simple,1500
0,100,67,2,31,5,5,200,1,0,CO,simple,1500
0,100,63,1,36,5,5,200,1,0,CO,simple,1500
0,100,60,0,40,5,5,200,1,0,CO,simple,1500
0,100,27,1,72,5,5,200,1,0,CO,simple,1500
0,100,61,0,39,5,5,200,1,0,CO,simple,1500
